Feature_ID	Proto-language	value	tree_type	variable	method	conflict
GB024a	Proto-Oceanic	Half	glottolog	prediction	parsimony	
GB024a	Proto-Central Pacific	Half	glottolog	prediction	parsimony	
GB024a	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB024a	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB024b	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB024b	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB024b	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB024b	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB025a	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB025a	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB025a	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB025a	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB025b	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB025b	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB025b	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB025b	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB065a	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB065a	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB065a	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB065a	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB065b	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB065b	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB065b	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB065b	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB130a	Proto-Central Pacific	Half	glottolog	prediction	parsimony	
GB130a	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB130a	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB130a	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB130b	Proto-Central Pacific	Half	glottolog	prediction	parsimony	
GB130b	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB130b	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB130b	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB193a	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB193a	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB193a	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB193a	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB193b	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB193b	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB193b	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB193b	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB203a	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB203a	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB203a	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB203a	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB203b	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB203b	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB203b	Proto-Polynesian	Present	glottolog	prediction	parsimony	
